head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
False,False,gataujiþ,akrana,ποιεῖ,καρποὺς,verb,common noun,verb,common noun,principale coordinata,principale,non_spec,1,1.0,indicative,indicative,principale coordinata finita,principale finita
False,False,gataujiþ,akrana,ποιεῖ,καρποὺς,verb,common noun,verb,common noun,principale coordinata,principale,non_spec,1,1.0,indicative,indicative,principale coordinata finita,principale finita
False,,gataujan,akrana,,καρποὺς,verb,common noun,,common noun,open predication,,non_spec,1,1.0,infinitive,,open predication non finita,
False,,gataujan,akrana,,καρποὺς,verb,common noun,,common noun,open predication,,non_spec,1,1.0,infinitive,,open predication non finita,
True,True,taujandane,akran,ποιοῦν,καρπὸν,verb,common noun,verb,common noun,relativa,relativa,non_spec,1,1.0,participle,participle,relativa non finita,relativa non finita
True,True,ufkunnaiþ,ins,ἐπιγνώσεσθε,αὐτούς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,taujands,wiljan,ποιῶν,θέλημα,verb,common noun,verb,common noun,relativa soggettiva coordinata,relativa soggettiva coordinata,new,1,2.0,participle,participle,relativa soggettiva coordinata non finita,relativa soggettiva coordinata non finita
False,False,uswaurpum,unhulþons,ἐξεβάλομεν,δαιμόνια,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,gatawidedum,mahtins,ἐποιήσαμεν,δυνάμεις,verb,common noun,verb,common noun,principale coordinata,principale coordinata,quant,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,kunþa,izwis,ἔγνων,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,hauseiþ,waurda,ἀκούει,λόγους,verb,common noun,verb,common noun,relativa coordinata,relativa coordinata,old,1,3.0,indicative,indicative,relativa coordinata finita,relativa coordinata finita
True,False,taujiþ,þo,ποιεῖ,τούτους,verb,demonstrative pronoun,verb,demonstrative pronoun,relativa coordinata,relativa coordinata,info_unannotatable,0,0.0,indicative,indicative,relativa coordinata finita,relativa coordinata finita
True,False,galeiko,ina,ὁμοιωθήσεται,αὐτοὺς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,1,0.0,indicative,indicative,principale finita,principale finita
True,True,gatimrida,razn,ᾠκοδόμησεν,οἰκίαν,verb,common noun,verb,common noun,relativa,relativa,non_spec,1,2.0,indicative,indicative,relativa finita,relativa finita
True,True,hauseiþ,waurda,ἀκούων,λόγους,verb,common noun,verb,common noun,relativa coordinata,relativa soggettiva coordinata,old,1,3.0,indicative,participle,relativa coordinata finita,relativa soggettiva coordinata non finita
True,True,taujiþ,þo,ποιῶν,αὐτοὺς,verb,demonstrative pronoun,verb,personal pronoun,relativa coordinata,relativa soggettiva coordinata,old,0,0.0,indicative,participle,relativa coordinata finita,relativa soggettiva coordinata non finita
True,True,gatimrida,razn,ᾠκοδόμησεν,οἰκίαν,verb,common noun,verb,common noun,relativa,relativa,non_spec,1,2.0,indicative,indicative,relativa finita,relativa finita
True,True,ustauh,waurda,ἐτέλεσεν,λόγους,verb,common noun,verb,common noun,,,old,1,2.0,indicative,indicative,,
True,True,laisjands,ins,διδάσκων,αὐτοὺς,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,participle,participle,open predication non finita,open predication non finita
False,False,habands,waldufni,ἔχων,ἐξουσίαν,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,info_unannotatable,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,inwait,ina,προσεκύνει,αὐτῷ,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
False,False,gahrainjan,mik,καθαρίσαι,με,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,ufrakjands,handu,ἐκτείνας,χεῖρα,verb,common noun,verb,common noun,open predication,open predication,acc_inf,0,1.0,participle,participle,open predication non finita,open predication non finita
False,False,ataugei,þuk,δεῖξον,σεαυτὸν,verb,personal pronoun,verb,personal reflexive pronoun,principale coordinata,principale coordinata,old,1,0.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,atbair,giba,προσένεγκον,δῶρον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
False,False,anabauþ,þoei,προσέταξεν,ὃ,verb,relative pronoun,verb,relative pronoun,relativa,relativa,,0,0.0,indicative,indicative,relativa finita,relativa finita
True,True,bidjands,ina,παρακαλῶν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication in coordinazione,open predication in coordinazione,old,0,0.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,gahailja,ina,θεραπεύσω,αὐτόν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,habands,gadrauhtins,ἔχων,στρατιώτας,verb,common noun,verb,common noun,relativa,open predication,non_spec,0,0.0,participle,participle,relativa non finita,open predication non finita
True,True,tawei,þata,ποίησον,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,parpred,parpred,acc_sit,0,0.0,imperative,imperative,parpred finita,parpred finita
False,False,bigat,galaubein,εὗρον,πίστιν,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,indicative,indicative,principale finita,principale finita
True,True,gasaƕ,swaihron,εἶδεν,πενθερὰν,verb,common noun,verb,common noun,principale coordinata,principale,new,1,2.0,indicative,indicative,principale coordinata finita,principale finita
True,True,attaitok,handau,ἥψατο,χειρὸς,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,aflailot,ija,ἀφῆκεν,αὐτὴν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,atberun,daimonarjans,προσήνεγκαν,δαιμονιζομένους,verb,common noun,verb,verb,principale coordinata,principale,quant,1,1.0,indicative,indicative,principale coordinata finita,principale finita
True,True,uswarp,ahmans,ἐξέβαλεν,πνεύματα,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec_inf,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,usnam,unmahtins,ἔλαβεν,ἀσθενείας,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,usbar,sauhtins,ἐβάστασεν,νόσους,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_inf,0,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,gasaiƕands,hiuhmans,Ἰδὼν,ὄχλους,verb,common noun,verb,common noun,open predication,open predication,new,2,2.0,participle,participle,open predication non finita,open predication non finita
True,True,laistja,þuk,ἀκολουθήσω,σοι,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
False,False,aigun,grobos,ἔχουσιν,φωλεοὺς,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,anahnaiwjai,haubiþ,κλίνῃ,κεφαλὴν,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,acc_inf,1,1.0,optative,subjunctive,subordinata completiva finita,subordinata completiva finita
True,True,gafilhan,attan,θάψαι,πατέρα,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,new,1,2.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,urraisidedun,ina,ἤγειραν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,,nasei,unsis,σῶσον,,verb,personal pronoun,verb,,principale,principale,,0,,imperative,imperative,principale finita,principale finita
True,True,bedun,ina,παρεκάλουν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,uswairpis,uns,ἐκβάλλεις,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,indicative,indicative,,
False,,gawaurhtedun,run,ὥρμησεν,,verb,common noun,verb,,principale coordinata,principale coordinata,,2,,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,gataihun,all,ἀπήγγειλαν,πάντα,verb,indefinite pronoun,verb,indefinite pronoun,principale coordinata,principale coordinata,quant,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,gasaiƕandans,ina,ἰδόντες,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,participle,participle,open predication non finita,open predication non finita
True,True,gasaiƕands,galaubein,ἰδὼν,πίστιν,verb,common noun,verb,common noun,open predication,open predication,new,1,2.0,participle,participle,open predication non finita,open predication non finita
True,,þrafstei,þuk,θάρσει,,verb,personal pronoun,verb,,principale,principale,,0,,imperative,imperative,principale finita,principale finita
