head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,əndownicʻin,jez,δέχωνται,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,subordinata avverbiale,relativa coordinata,old,1,0.0,subjunctive,subjunctive,subordinata avverbiale finita,relativa coordinata finita
False,False,tʻawtʻapʻescʻówkʻ,pʻošis,ἀπομασσόμεθα,κονιορτὸν,verb,common noun,verb,common noun,principale,principale,new,3,4.0,subjunctive,indicative,principale finita,principale finita
False,False,gitasǰikʻ,ays,γινώσκετε,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,principale,principale,acc_sit,2,1.0,subjunctive,imperative,principale finita,principale finita
False,True,anargē,jez,ἀθετῶν,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,1,0.0,indicative,participle,relativa soggettiva finita,relativa soggettiva non finita
False,False,anargē,ís,ἀθετεῖ,ἐμὲ,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,1,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,True,anargē,is,ἀθετῶν,με,verb,personal pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,1,0.0,indicative,participle,relativa soggettiva finita,relativa soggettiva non finita
False,,anargē,ar̄akʻíčʻ,ἀθετεῖ,,verb,common noun,verb,,principale coordinata,principale,acc_gen,3,,indicative,indicative,principale coordinata finita,principale finita
False,,ar̄akʻeacʻ,is,ἀποστείλαντά,,verb,personal pronoun,verb,,relativa,relativa oggettiva,old,1,,indicative,participle,relativa finita,relativa oggettiva non finita
True,True,tesanei,satanay,ἐθεώρουν,σατανᾶν,verb,proper noun,verb,proper noun,principale,principale,acc_gen,1,1.0,indicative,indicative,principale finita,principale finita
True,True,etow,išxanowtʻiwn,δέδωκα,ἐξουσίαν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,mełančʻicʻen,inčʻ,ἀδικήσει,οὐδὲν,verb,indefinite pronoun,verb,indefinite pronoun,principale coordinata,principale coordinata,non_spec,1,0.0,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,True,cackecʻer,ays,ἀπέκρυψας,ταῦτα,verb,demonstrative pronoun,verb,demonstrative pronoun,subordinata completiva coordinata,subordinata completiva coordinata,old,1,0.0,indicative,indicative,subordinata completiva coordinata finita,subordinata completiva coordinata finita
True,,yaytnecʻer,ays,ἀπεκάλυψας,,verb,demonstrative pronoun,verb,,subordinata completiva coordinata,subordinata completiva coordinata,old,1,,indicative,indicative,subordinata completiva coordinata finita,subordinata completiva coordinata finita
False,False,tesanēkʻ,or,βλέπετε,ἃ,verb,relative pronoun,verb,relative pronoun,relativa oggettiva,relativa oggettiva,,1,0.0,indicative,indicative,relativa oggettiva finita,relativa oggettiva finita
False,False,tesanēkʻ,or,βλέπετε,ἃ,verb,relative pronoun,verb,relative pronoun,relativa oggettiva,relativa oggettiva,,1,0.0,indicative,indicative,relativa oggettiva finita,relativa oggettiva finita
False,False,lsēkʻ,or,ἀκούετε,ἃ,verb,relative pronoun,verb,relative pronoun,relativa oggettiva,relativa oggettiva,,1,0.0,indicative,indicative,relativa oggettiva finita,relativa oggettiva finita
True,True,pʻorjēr,na,ἐκπειράζων,αὐτόν,verb,demonstrative pronoun,verb,personal pronoun,principale coordinata,open predication,old,1,0.0,indicative,participle,principale coordinata finita,open predication non finita
False,False,gorcecʻicʻ,zinčʻ,ποιήσας,τί,verb,interrogative pronoun,verb,interrogative pronoun,principale,open predication,non_spec,0,0.0,subjunctive,participle,principale finita,open predication non finita
False,False,žar̄angecʻicʻ,keans,κληρονομήσω,ζωὴν,verb,common noun,verb,common noun,subordinata completiva,principale,acc_gen,3,1.0,subjunctive,indicative,subordinata completiva finita,principale finita
False,,et,patasxani,ἀποκριθεὶς,,verb,common noun,verb,,principale coordinata,open predication,new,0,,indicative,participle,principale coordinata finita,open predication non finita
True,True,sirescʻés,Tēr,ἀγαπήσεις,κύριον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,2,1.0,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,,etowr,patasxani,ἀπεκρίθης,,verb,common noun,verb,,principale,principale,old,2,,indicative,indicative,principale finita,principale finita
