head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,възьметъ,конецъ,αἴρει,πλήρωμα,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec,0,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,въливаатъ,вина,βάλλει,οἶνον,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,indicative,indicative,principale finita,principale finita
False,,лиѣти,вино,,,verb,common noun,,,principale,,kind,1,,infinitive,,principale non finita,
False,False,творити,пѫть,ποιεῖν,ὁδὸν,verb,common noun,verb,common noun,open predication,open predication,new,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,въстръгаѭште,класꙑ,τίλλοντες,στάχυας,verb,common noun,verb,common noun,open predication,open predication,acc_inf,0,1.0,participle,participle,open predication non finita,open predication non finita
False,False,сътвори,что,ἐποίησεν,τί,verb,interrogative pronoun,verb,interrogative pronoun,subordinata completiva,subordinata completiva,non_spec,0,0.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
False,False,сънѣстъ,хлѣбꙑ,ἔφαγεν,ἄρτους,verb,common noun,verb,common noun,subordinata completiva,principale coordinata,acc_inf,2,3.0,indicative,indicative,subordinata completiva finita,principale coordinata finita
False,False,ѣсти,ꙇхъже,φαγεῖν,οὓς,verb,relative pronoun,verb,relative pronoun,open predication,open predication,,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
False,True,имꙑ,рѫкѫ,ἔχων,χεῖρα,verb,common noun,verb,common noun,relativa,relativa,acc_inf,1,2.0,participle,participle,relativa non finita,relativa non finita
True,True,назираахѫ,и,παρετήρουν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
